Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
800 11.30 22.95 36.29 51.00 1:07.01 15.58 57.22 44.05 1:32.15 3:28.13
799 - - 36.30 51.02 1:07.04 - 57.24 44.07 1:32.19 3:28.21
798 - 22.96 36.31 51.04 1:07.06 15.59 57.26 44.09 1:32.22 3:28.29
797 11.31 22.97 36.33 51.06 1:07.08 - 57.29 44.10 1:32.25 3:28.37
796 - 22.98 36.34 51.07 1:07.11 15.60 57.31 44.12 1:32.28 3:28.45
795 - 22.99 36.35 51.09 1:07.13 15.61 57.34 44.13 1:32.32 3:28.53
794 11.32 - 36.37 51.11 1:07.15 - 57.36 44.15 1:32.35 3:28.60
793 - 23.00 36.38 51.13 1:07.18 15.62 57.38 44.17 1:32.38 3:28.68
792 - 23.01 36.39 51.14 1:07.20 15.63 57.41 44.18 1:32.41 3:28.76
791 11.33 23.02 36.40 51.16 1:07.22 - 57.43 44.20 1:32.45 3:28.84
790 - - 36.42 51.18 1:07.25 15.64 57.46 44.21 1:32.48 3:28.92
789 11.34 23.03 36.43 51.20 1:07.27 15.65 57.48 44.23 1:32.51 3:29.00
788 - 23.04 36.44 51.21 1:07.29 - 57.51 44.25 1:32.54 3:29.08
787 - 23.05 36.46 51.23 1:07.32 15.66 57.53 44.26 1:32.58 3:29.16
786 11.35 23.06 36.47 51.25 1:07.34 15.67 57.55 44.28 1:32.61 3:29.24
785 - - 36.48 51.27 1:07.36 - 57.58 44.29 1:32.64 3:29.32
784 - 23.07 36.50 51.28 1:07.39 15.68 57.60 44.31 1:32.67 3:29.40
783 11.36 23.08 36.51 51.30 1:07.41 - 57.63 44.33 1:32.71 3:29.48
782 - 23.09 36.52 51.32 1:07.43 15.69 57.65 44.34 1:32.74 3:29.56
781 - 23.10 36.54 51.34 1:07.46 15.70 57.67 44.36 1:32.77 3:29.64
780 11.37 - 36.55 51.36 1:07.48 - 57.70 44.37 1:32.81 3:29.71
779 - 23.11 36.56 51.37 1:07.50 15.71 57.72 44.39 1:32.84 3:29.79
778 - 23.12 36.58 51.39 1:07.53 15.72 57.75 44.41 1:32.87 3:29.87
777 11.38 23.13 36.59 51.41 1:07.55 - 57.77 44.42 1:32.90 3:29.95
776 - 23.14 36.60 51.43 1:07.57 15.73 57.80 44.44 1:32.94 3:30.03
775 11.39 - 36.62 51.44 1:07.60 15.74 57.82 44.45 1:32.97 3:30.11
774 - 23.15 36.63 51.46 1:07.62 - 57.84 44.47 1:33.00 3:30.19
773 - 23.16 36.64 51.48 1:07.64 15.75 57.87 44.49 1:33.04 3:30.27
772 11.40 23.17 36.66 51.50 1:07.67 15.76 57.89 44.50 1:33.07 3:30.35
771 - 23.18 36.67 51.52 1:07.69 - 57.92 44.52 1:33.10 3:30.43
770 - - 36.68 51.53 1:07.71 15.77 57.94 44.54 1:33.13 3:30.51
769 11.41 23.19 36.70 51.55 1:07.74 15.78 57.97 44.55 1:33.17 3:30.59
768 - 23.20 36.71 51.57 1:07.76 - 57.99 44.57 1:33.20 3:30.67
767 - 23.21 36.72 51.59 1:07.79 15.79 58.01 44.58 1:33.23 3:30.75
766 11.42 23.22 36.74 51.60 1:07.81 - 58.04 44.60 1:33.27 3:30.84
765 - - 36.75 51.62 1:07.83 15.80 58.06 44.62 1:33.30 3:30.92
764 11.43 23.23 36.76 51.64 1:07.86 15.81 58.09 44.63 1:33.33 3:31.00
763 - 23.24 36.78 51.66 1:07.88 - 58.11 44.65 1:33.37 3:31.08
762 - 23.25 36.79 51.68 1:07.90 15.82 58.14 44.67 1:33.40 3:31.16
761 11.44 23.26 36.80 51.69 1:07.93 15.83 58.16 44.68 1:33.43 3:31.24
760 - - 36.82 51.71 1:07.95 - 58.19 44.70 1:33.47 3:31.32
759 - 23.27 36.83 51.73 1:07.98 15.84 58.21 44.71 1:33.50 3:31.40
758 11.45 23.28 36.84 51.75 1:08.00 15.85 58.24 44.73 1:33.53 3:31.48
757 - 23.29 36.86 51.77 1:08.02 - 58.26 44.75 1:33.57 3:31.56
756 - 23.30 36.87 51.78 1:08.05 15.86 58.28 44.76 1:33.60 3:31.64
755 11.46 - 36.88 51.80 1:08.07 15.87 58.31 44.78 1:33.63 3:31.72
754 - 23.31 36.90 51.82 1:08.09 - 58.33 44.80 1:33.67 3:31.80
753 11.47 23.32 36.91 51.84 1:08.12 15.88 58.36 44.81 1:33.70 3:31.88
752 - 23.33 36.92 51.86 1:08.14 15.89 58.38 44.83 1:33.73 3:31.97
751 - 23.34 36.94 51.87 1:08.17 - 58.41 44.85 1:33.77 3:32.05
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
15
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
11.48 - 36.95 51.89 1:08.19 15.90 58.43 44.86 1:33.80 3:32.13 750
- 23.35 36.96 51.91 1:08.21 15.91 58.46 44.88 1:33.83 3:32.21 749
- 23.36 36.98 51.93 1:08.24 - 58.48 44.89 1:33.87 3:32.29 748
11.49 23.37 36.99 51.95 1:08.26 15.92 58.51 44.91 1:33.90 3:32.37 747
- 23.38 37.00 51.96 1:08.28 15.93 58.53 44.93 1:33.93 3:32.45 746
11.50 - 37.02 51.98 1:08.31 - 58.56 44.94 1:33.97 3:32.54 745
- 23.39 37.03 52.00 1:08.33 15.94 58.58 44.96 1:34.00 3:32.62 744
- 23.40 37.05 52.02 1:08.36 15.95 58.61 44.98 1:34.03 3:32.70 743
11.51 23.41 37.06 52.04 1:08.38 - 58.63 44.99 1:34.07 3:32.78 742
- 23.42 37.07 52.06 1:08.40 15.96 58.66 45.01 1:34.10 3:32.86 741
- 23.43 37.09 52.07 1:08.43 15.97 58.68 45.03 1:34.14 3:32.94 740
11.52 - 37.10 52.09 1:08.45 - 58.71 45.04 1:34.17 3:33.03 739
- 23.44 37.11 52.11 1:08.48 15.98 58.73 45.06 1:34.20 3:33.11 738
- 23.45 37.13 52.13 1:08.50 15.99 58.76 45.08 1:34.24 3:33.19 737
11.53 23.46 37.14 52.15 1:08.53 - 58.78 45.09 1:34.27 3:33.27 736
- 23.47 37.15 52.16 1:08.55 16.00 58.81 45.11 1:34.30 3:33.35 735
11.54 - 37.17 52.18 1:08.57 16.01 58.83 45.13 1:34.34 3:33.44 734
- 23.48 37.18 52.20 1:08.60 - 58.85 45.14 1:34.37 3:33.52 733
- 23.49 37.20 52.22 1:08.62 16.02 58.88 45.16 1:34.41 3:33.60 732
11.55 23.50 37.21 52.24 1:08.65 16.03 58.91 45.18 1:34.44 3:33.68 731
- 23.51 37.22 52.26 1:08.67 - 58.93 45.19 1:34.47 3:33.76 730
- 23.52 37.24 52.27 1:08.69 16.04 58.96 45.21 1:34.51 3:33.85 729
11.56 - 37.25 52.29 1:08.72 16.05 58.98 45.23 1:34.54 3:33.93 728
- 23.53 37.26 52.31 1:08.74 - 59.01 45.24 1:34.58 3:34.01 727
11.57 23.54 37.28 52.33 1:08.77 16.06 59.03 45.26 1:34.61 3:34.09 726
- 23.55 37.29 52.35 1:08.79 16.07 59.06 45.28 1:34.64 3:34.18 725
- 23.56 37.30 52.37 1:08.82 - 59.08 45.29 1:34.68 3:34.26 724
11.58 23.57 37.32 52.38 1:08.84 16.08 59.11 45.31 1:34.71 3:34.34 723
- - 37.33 52.40 1:08.86 16.09 59.13 45.33 1:34.75 3:34.42 722
- 23.58 37.35 52.42 1:08.89 - 59.16 45.34 1:34.78 3:34.51 721
11.59 23.59 37.36 52.44 1:08.91 16.10 59.18 45.36 1:34.81 3:34.59 720
- 23.60 37.37 52.46 1:08.94 16.11 59.21 45.38 1:34.85 3:34.67 719
11.60 23.61 37.39 52.48 1:08.96 - 59.23 45.39 1:34.88 3:34.76 718
- - 37.40 52.49 1:08.99 16.12 59.26 45.41 1:34.92 3:34.84 717
- 23.62 37.41 52.51 1:09.01 16.13 59.28 45.43 1:34.95 3:34.92 716
11.61 23.63 37.43 52.53 1:09.03 - 59.31 45.44 1:34.98 3:35.01 715
- 23.64 37.44 52.55 1:09.06 16.14 59.33 45.46 1:35.02 3:35.09 714
- 23.65 37.46 52.57 1:09.08 16.15 59.36 45.48 1:35.05 3:35.17 713
11.62 23.66 37.47 52.59 1:09.11 - 59.38 45.49 1:35.09 3:35.26 712
- - 37.48 52.61 1:09.13 16.16 59.41 45.51 1:35.12 3:35.34 711
11.63 23.67 37.50 52.62 1:09.16 16.17 59.43 45.53 1:35.16 3:35.42 710
- 23.68 37.51 52.64 1:09.18 - 59.46 45.54 1:35.19 3:35.51 709
- 23.69 37.53 52.66 1:09.21 16.18 59.49 45.56 1:35.23 3:35.59 708
11.64 23.70 37.54 52.68 1:09.23 16.19 59.51 45.58 1:35.26 3:35.67 707
- 23.71 37.55 52.70 1:09.26 - 59.54 45.60 1:35.29 3:35.76 706
- - 37.57 52.72 1:09.28 16.20 59.56 45.61 1:35.33 3:35.84 705
11.65 23.72 37.58 52.74 1:09.30 16.21 59.59 45.63 1:35.36 3:35.92 704
- 23.73 37.60 52.75 1:09.33 16.22 59.61 45.65 1:35.40 3:36.01 703
11.66 23.74 37.61 52.77 1:09.35 - 59.64 45.66 1:35.43 3:36.09 702
- 23.75 37.62 52.79 1:09.38 16.23 59.66 45.68 1:35.47 3:36.18 701
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
16
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
700 - 23.76 37.64 52.81 1:09.40 16.24 59.69 45.70 1:35.50 3:36.26
699 11.67 - 37.65 52.83 1:09.43 - 59.71 45.71 1:35.54 3:36.34
698 - 23.77 37.67 52.85 1:09.45 16.25 59.74 45.73 1:35.57 3:36.43
697 11.68 23.78 37.68 52.87 1:09.48 16.26 59.77 45.75 1:35.61 3:36.51
696 - 23.79 37.69 52.89 1:09.50 - 59.79 45.77 1:35.64 3:36.60
695 - 23.80 37.71 52.90 1:09.53 16.27 59.82 45.78 1:35.68 3:36.68
694 11.69 23.81 37.72 52.92 1:09.55 16.28 59.84 45.80 1:35.71 3:36.77
693 - 23.82 37.74 52.94 1:09.58 - 59.87 45.82 1:35.74 3:36.85
692 - - 37.75 52.96 1:09.60 16.29 59.89 45.83 1:35.78 3:36.94
691 11.70 23.83 37.76 52.98 1:09.63 16.30 59.92 45.85 1:35.81 3:37.02
690 - 23.84 37.78 53.00 1:09.65 - 59.95 45.87 1:35.85 3:37.10
689 11.71 23.85 37.79 53.02 1:09.68 16.31 59.97 45.88 1:35.88 3:37.19
688 - 23.86 37.81 53.04 1:09.70 16.32 1:00.00 45.90 1:35.92 3:37.27
687 - 23.87 37.82 53.06 1:09.73 - 1:00.02 45.92 1:35.95 3:37.36
686 11.72 - 37.83 53.07 1:09.75 16.33 1:00.05 45.94 1:35.99 3:37.44
685 - 23.88 37.85 53.09 1:09.78 16.34 1:00.07 45.95 1:36.02 3:37.53
684 11.73 23.89 37.86 53.11 1:09.80 16.35 1:00.10 45.97 1:36.06 3:37.61
683 - 23.90 37.88 53.13 1:09.83 - 1:00.13 45.99 1:36.09 3:37.70
682 - 23.91 37.89 53.15 1:09.85 16.36 1:00.15 46.01 1:36.13 3:37.78
681 11.74 23.92 37.90 53.17 1:09.88 16.37 1:00.18 46.02 1:36.16 3:37.87
680 - 23.93 37.92 53.19 1:09.90 - 1:00.20 46.04 1:36.20 3:37.95
679 - - 37.93 53.21 1:09.93 16.38 1:00.23 46.06 1:36.23 3:38.04
678 11.75 23.94 37.95 53.23 1:09.95 16.39 1:00.26 46.07 1:36.27 3:38.13
677 - 23.95 37.96 53.24 1:09.98 - 1:00.28 46.09 1:36.31 3:38.21
676 11.76 23.96 37.98 53.26 1:10.00 16.40 1:00.31 46.11 1:36.34 3:38.30
675 - 23.97 37.99 53.28 1:10.03 16.41 1:00.33 46.13 1:36.38 3:38.38
674 - 23.98 38.00 53.30 1:10.05 - 1:00.36 46.14 1:36.41 3:38.47
673 11.77 - 38.02 53.32 1:10.08 16.42 1:00.39 46.16 1:36.45 3:38.55
672 - 23.99 38.03 53.34 1:10.10 16.43 1:00.41 46.18 1:36.48 3:38.64
671 11.78 24.00 38.05 53.36 1:10.13 16.44 1:00.44 46.20 1:36.52 3:38.73
670 - 24.01 38.06 53.38 1:10.15 - 1:00.46 46.21 1:36.55 3:38.81
669 - 24.02 38.08 53.40 1:10.18 16.45 1:00.49 46.23 1:36.59 3:38.90
668 11.79 24.03 38.09 53.42 1:10.20 16.46 1:00.52 46.25 1:36.62 3:38.98
667 - 24.04 38.10 53.44 1:10.23 - 1:00.54 46.26 1:36.66 3:39.07
666 - 24.05 38.12 53.45 1:10.25 16.47 1:00.57 46.28 1:36.69 3:39.16
665 11.80 - 38.13 53.47 1:10.28 16.48 1:00.60 46.30 1:36.73 3:39.24
664 - 24.06 38.15 53.49 1:10.30 - 1:00.62 46.32 1:36.77 3:39.33
663 11.81 24.07 38.16 53.51 1:10.33 16.49 1:00.65 46.33 1:36.80 3:39.41
662 - 24.08 38.18 53.53 1:10.36 16.50 1:00.67 46.35 1:36.84 3:39.50
661 - 24.09 38.19 53.55 1:10.38 16.51 1:00.70 46.37 1:36.87 3:39.59
660 11.82 24.10 38.20 53.57 1:10.41 - 1:00.73 46.39 1:36.91 3:39.67
659 - 24.11 38.22 53.59 1:10.43 16.52 1:00.75 46.40 1:36.94 3:39.76
658 11.83 - 38.23 53.61 1:10.46 16.53 1:00.78 46.42 1:36.98 3:39.85
657 - 24.12 38.25 53.63 1:10.48 - 1:00.81 46.44 1:37.01 3:39.93
656 - 24.13 38.26 53.65 1:10.51 16.54 1:00.83 46.46 1:37.05 3:40.02
655 11.84 24.14 38.28 53.67 1:10.53 16.55 1:00.86 46.47 1:37.09 3:40.11
654 - 24.15 38.29 53.69 1:10.56 - 1:00.89 46.49 1:37.12 3:40.19
653 11.85 24.16 38.31 53.71 1:10.58 16.56 1:00.91 46.51 1:37.16 3:40.28
652 - 24.17 38.32 53.72 1:10.61 16.57 1:00.94 46.53 1:37.19 3:40.37
651 - - 38.33 53.74 1:10.64 16.58 1:00.97 46.55 1:37.23 3:40.46
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
17
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
11.86 24.18 38.35 53.76 1:10.66 - 1:00.99 46.56 1:37.27 3:40.54 650
- 24.19 38.36 53.78 1:10.69 16.59 1:01.02 46.58 1:37.30 3:40.63 649
11.87 24.20 38.38 53.80 1:10.71 16.60 1:01.04 46.60 1:37.34 3:40.72 648
- 24.21 38.39 53.82 1:10.74 - 1:01.07 46.62 1:37.37 3:40.81 647
- 24.22 38.41 53.84 1:10.76 16.61 1:01.10 46.63 1:37.41 3:40.89 646
11.88 24.23 38.42 53.86 1:10.79 16.62 1:01.12 46.65 1:37.45 3:40.98 645
- 24.24 38.44 53.88 1:10.82 16.63 1:01.15 46.67 1:37.48 3:41.07 644
11.89 - 38.45 53.90 1:10.84 - 1:01.18 46.69 1:37.52 3:41.16 643
- 24.25 38.46 53.92 1:10.87 16.64 1:01.20 46.70 1:37.55 3:41.24 642
- 24.26 38.48 53.94 1:10.89 16.65 1:01.23 46.72 1:37.59 3:41.33 641
11.90 24.27 38.49 53.96 1:10.92 - 1:01.26 46.74 1:37.63 3:41.42 640
- 24.28 38.51 53.98 1:10.94 16.66 1:01.28 46.76 1:37.66 3:41.51 639
11.91 24.29 38.52 54.00 1:10.97 16.67 1:01.31 46.78 1:37.70 3:41.60 638
- 24.30 38.54 54.02 1:11.00 16.68 1:01.34 46.79 1:37.74 3:41.68 637
- 24.31 38.55 54.04 1:11.02 - 1:01.37 46.81 1:37.77 3:41.77 636
11.92 - 38.57 54.06 1:11.05 16.69 1:01.39 46.83 1:37.81 3:41.86 635
- 24.32 38.58 54.08 1:11.07 16.70 1:01.42 46.85 1:37.84 3:41.95 634
11.93 24.33 38.60 54.10 1:11.10 - 1:01.45 46.86 1:37.88 3:42.04 633
- 24.34 38.61 54.12 1:11.13 16.71 1:01.47 46.88 1:37.92 3:42.13 632
- 24.35 38.63 54.13 1:11.15 16.72 1:01.50 46.90 1:37.95 3:42.21 631
11.94 24.36 38.64 54.15 1:11.18 16.73 1:01.53 46.92 1:37.99 3:42.30 630
- 24.37 38.66 54.17 1:11.20 - 1:01.55 46.94 1:38.03 3:42.39 629
11.95 24.38 38.67 54.19 1:11.23 16.74 1:01.58 46.95 1:38.06 3:42.48 628
- 24.39 38.68 54.21 1:11.26 16.75 1:01.61 46.97 1:38.10 3:42.57 627
- - 38.70 54.23 1:11.28 - 1:01.63 46.99 1:38.14 3:42.66 626
11.96 24.40 38.71 54.25 1:11.31 16.76 1:01.66 47.01 1:38.17 3:42.75 625
- 24.41 38.73 54.27 1:11.34 16.77 1:01.69 47.03 1:38.21 3:42.84 624
11.97 24.42 38.74 54.29 1:11.36 16.78 1:01.72 47.04 1:38.25 3:42.92 623
- 24.43 38.76 54.31 1:11.39 - 1:01.74 47.06 1:38.28 3:43.01 622
- 24.44 38.77 54.33 1:11.41 16.79 1:01.77 47.08 1:38.32 3:43.10 621
11.98 24.45 38.79 54.35 1:11.44 16.80 1:01.80 47.10 1:38.36 3:43.19 620
- 24.46 38.80 54.37 1:11.47 16.81 1:01.82 47.12 1:38.39 3:43.28 619
11.99 24.47 38.82 54.39 1:11.49 - 1:01.85 47.13 1:38.43 3:43.37 618
- - 38.83 54.41 1:11.52 16.82 1:01.88 47.15 1:38.47 3:43.46 617
- 24.48 38.85 54.43 1:11.55 16.83 1:01.91 47.17 1:38.50 3:43.55 616
12.00 24.49 38.86 54.45 1:11.57 - 1:01.93 47.19 1:38.54 3:43.64 615
- 24.50 38.88 54.47 1:11.60 16.84 1:01.96 47.21 1:38.58 3:43.73 614
12.01 24.51 38.89 54.49 1:11.62 16.85 1:01.99 47.22 1:38.62 3:43.82 613
- 24.52 38.91 54.51 1:11.65 16.86 1:02.02 47.24 1:38.65 3:43.91 612
- 24.53 38.92 54.53 1:11.68 - 1:02.04 47.26 1:38.69 3:44.00 611
12.02 24.54 38.94 54.55 1:11.70 16.87 1:02.07 47.28 1:38.73 3:44.09 610
- 24.55 38.95 54.57 1:11.73 16.88 1:02.10 47.30 1:38.76 3:44.18 609
12.03 - 38.97 54.59 1:11.76 16.89 1:02.13 47.32 1:38.80 3:44.27 608
- 24.56 38.98 54.61 1:11.78 - 1:02.15 47.33 1:38.84 3:44.36 607
- 24.57 39.00 54.63 1:11.81 16.90 1:02.18 47.35 1:38.88 3:44.45 606
12.04 24.58 39.01 54.65 1:11.84 16.91 1:02.21 47.37 1:38.91 3:44.54 605
- 24.59 39.03 54.67 1:11.86 16.92 1:02.24 47.39 1:38.95 3:44.63 604
12.05 24.60 39.04 54.69 1:11.89 - 1:02.26 47.41 1:38.99 3:44.72 603
- 24.61 39.06 54.71 1:11.92 16.93 1:02.29 47.43 1:39.02 3:44.81 602
12.06 24.62 39.07 54.73 1:11.94 16.94 1:02.32 47.44 1:39.06 3:44.90 601
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
18
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
600 - 24.63 39.09 54.75 1:11.97 - 1:02.35 47.46 1:39.10 3:44.99
599 - 24.64 39.10 54.77 1:12.00 16.95 1:02.37 47.48 1:39.14 3:45.09
598 12.07 24.65 39.12 54.79 1:12.02 16.96 1:02.40 47.50 1:39.17 3:45.18
597 - - 39.13 54.81 1:12.05 16.97 1:02.43 47.52 1:39.21 3:45.27
596 12.08 24.66 39.15 54.83 1:12.08 - 1:02.46 47.54 1:39.25 3:45.36
595 - 24.67 39.16 54.85 1:12.10 16.98 1:02.48 47.55 1:39.29 3:45.45
594 - 24.68 39.18 54.87 1:12.13 16.99 1:02.51 47.57 1:39.32 3:45.54
593 12.09 24.69 39.19 54.90 1:12.16 17.00 1:02.54 47.59 1:39.36 3:45.63
592 - 24.70 39.21 54.92 1:12.18 - 1:02.57 47.61 1:39.40 3:45.72
591 12.10 24.71 39.22 54.94 1:12.21 17.01 1:02.59 47.63 1:39.44 3:45.81
590 - 24.72 39.24 54.96 1:12.24 17.02 1:02.62 47.65 1:39.47 3:45.91
589 - 24.73 39.25 54.98 1:12.26 17.03 1:02.65 47.67 1:39.51 3:46.00
588 12.11 24.74 39.27 55.00 1:12.29 - 1:02.68 47.68 1:39.55 3:46.09
587 - 24.75 39.29 55.02 1:12.32 17.04 1:02.71 47.70 1:39.59 3:46.18
586 12.12 - 39.30 55.04 1:12.35 17.05 1:02.73 47.72 1:39.63 3:46.27
585 - 24.76 39.32 55.06 1:12.37 17.06 1:02.76 47.74 1:39.66 3:46.37
584 12.13 24.77 39.33 55.08 1:12.40 - 1:02.79 47.76 1:39.70 3:46.46
583 - 24.78 39.35 55.10 1:12.43 17.07 1:02.82 47.78 1:39.74 3:46.55
582 - 24.79 39.36 55.12 1:12.45 17.08 1:02.85 47.80 1:39.78 3:46.64
581 12.14 24.80 39.38 55.14 1:12.48 17.09 1:02.87 47.81 1:39.82 3:46.73
580 - 24.81 39.39 55.16 1:12.51 - 1:02.90 47.83 1:39.85 3:46.83
579 12.15 24.82 39.41 55.18 1:12.53 17.10 1:02.93 47.85 1:39.89 3:46.92
578 - 24.83 39.42 55.20 1:12.56 17.11 1:02.96 47.87 1:39.93 3:47.01
577 - 24.84 39.44 55.22 1:12.59 17.12 1:02.99 47.89 1:39.97 3:47.10
576 12.16 24.85 39.45 55.24 1:12.62 - 1:03.02 47.91 1:40.01 3:47.20
575 - 24.86 39.47 55.26 1:12.64 17.13 1:03.04 47.93 1:40.04 3:47.29
574 12.17 24.87 39.48 55.28 1:12.67 17.14 1:03.07 47.95 1:40.08 3:47.38
573 - - 39.50 55.31 1:12.70 17.15 1:03.10 47.96 1:40.12 3:47.47
572 12.18 24.88 39.52 55.33 1:12.73 - 1:03.13 47.98 1:40.16 3:47.57
571 - 24.89 39.53 55.35 1:12.75 17.16 1:03.16 48.00 1:40.20 3:47.66
570 - 24.90 39.55 55.37 1:12.78 17.17 1:03.18 48.02 1:40.24 3:47.75
569 12.19 24.91 39.56 55.39 1:12.81 17.18 1:03.21 48.04 1:40.27 3:47.85
568 - 24.92 39.58 55.41 1:12.84 - 1:03.24 48.06 1:40.31 3:47.94
567 12.20 24.93 39.59 55.43 1:12.86 17.19 1:03.27 48.08 1:40.35 3:48.03
566 - 24.94 39.61 55.45 1:12.89 17.20 1:03.30 48.10 1:40.39 3:48.13
565 12.21 24.95 39.62 55.47 1:12.92 17.21 1:03.33 48.11 1:40.43 3:48.22
564 - 24.96 39.64 55.49 1:12.94 - 1:03.36 48.13 1:40.47 3:48.31
563 - 24.97 39.66 55.51 1:12.97 17.22 1:03.38 48.15 1:40.51 3:48.41
562 12.22 24.98 39.67 55.53 1:13.00 17.23 1:03.41 48.17 1:40.54 3:48.50
561 - 24.99 39.69 55.55 1:13.03 17.24 1:03.44 48.19 1:40.58 3:48.60
560 12.23 25.00 39.70 55.58 1:13.06 - 1:03.47 48.21 1:40.62 3:48.69
559 - 25.01 39.72 55.60 1:13.08 17.25 1:03.50 48.23 1:40.66 3:48.78
558 12.24 - 39.73 55.62 1:13.11 17.26 1:03.53 48.25 1:40.70 3:48.88
557 - 25.02 39.75 55.64 1:13.14 17.27 1:03.56 48.27 1:40.74 3:48.97
556 - 25.03 39.76 55.66 1:13.17 17.28 1:03.58 48.29 1:40.78 3:49.07
555 12.25 25.04 39.78 55.68 1:13.19 - 1:03.61 48.30 1:40.82 3:49.16
554 - 25.05 39.80 55.70 1:13.22 17.29 1:03.64 48.32 1:40.85 3:49.26
553 12.26 25.06 39.81 55.72 1:13.25 17.30 1:03.67 48.34 1:40.89 3:49.35
552 - 25.07 39.83 55.74 1:13.28 17.31 1:03.70 48.36 1:40.93 3:49.45
551 12.27 25.08 39.84 55.76 1:13.30 - 1:03.73 48.38 1:40.97 3:49.54
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
19
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- 25.09 39.86 55.79 1:13.33 17.32 1:03.76 48.40 1:41.01 3:49.63 550
- 25.10 39.87 55.81 1:13.36 17.33 1:03.79 48.42 1:41.05 3:49.73 549
12.28 25.11 39.89 55.83 1:13.39 17.34 1:03.81 48.44 1:41.09 3:49.82 548
- 25.12 39.91 55.85 1:13.42 - 1:03.84 48.46 1:41.13 3:49.92 547
12.29 25.13 39.92 55.87 1:13.44 17.35 1:03.87 48.48 1:41.17 3:50.01 546
- 25.14 39.94 55.89 1:13.47 17.36 1:03.90 48.50 1:41.21 3:50.11 545
12.30 25.15 39.95 55.91 1:13.50 17.37 1:03.93 48.52 1:41.25 3:50.21 544
- 25.16 39.97 55.93 1:13.53 17.38 1:03.96 48.54 1:41.28 3:50.30 543
- 25.17 39.99 55.95 1:13.56 - 1:03.99 48.55 1:41.32 3:50.40 542
12.31 25.18 40.00 55.98 1:13.58 17.39 1:04.02 48.57 1:41.36 3:50.49 541
- - 40.02 56.00 1:13.61 17.40 1:04.05 48.59 1:41.40 3:50.59 540
12.32 25.19 40.03 56.02 1:13.64 17.41 1:04.08 48.61 1:41.44 3:50.68 539
- 25.20 40.05 56.04 1:13.67 - 1:04.10 48.63 1:41.48 3:50.78 538
12.33 25.21 40.06 56.06 1:13.70 17.42 1:04.13 48.65 1:41.52 3:50.88 537
- 25.22 40.08 56.08 1:13.73 17.43 1:04.16 48.67 1:41.56 3:50.97 536
- 25.23 40.10 56.10 1:13.75 17.44 1:04.19 48.69 1:41.60 3:51.07 535
12.34 25.24 40.11 56.13 1:13.78 17.45 1:04.22 48.71 1:41.64 3:51.16 534
- 25.25 40.13 56.15 1:13.81 - 1:04.25 48.73 1:41.68 3:51.26 533
12.35 25.26 40.14 56.17 1:13.84 17.46 1:04.28 48.75 1:41.72 3:51.36 532
- 25.27 40.16 56.19 1:13.87 17.47 1:04.31 48.77 1:41.76 3:51.45 531
12.36 25.28 40.18 56.21 1:13.90 17.48 1:04.34 48.79 1:41.80 3:51.55 530
- 25.29 40.19 56.23 1:13.92 - 1:04.37 48.81 1:41.84 3:51.65 529
- 25.30 40.21 56.25 1:13.95 17.49 1:04.40 48.83 1:41.88 3:51.74 528
12.37 25.31 40.23 56.28 1:13.98 17.50 1:04.43 48.85 1:41.92 3:51.84 527
- 25.32 40.24 56.30 1:14.01 17.51 1:04.46 48.87 1:41.96 3:51.94 526
12.38 25.33 40.26 56.32 1:14.04 17.52 1:04.49 48.89 1:42.00 3:52.03 525
- 25.34 40.27 56.34 1:14.07 - 1:04.52 48.90 1:42.04 3:52.13 524
12.39 25.35 40.29 56.36 1:14.09 17.53 1:04.55 48.92 1:42.08 3:52.23 523
- 25.36 40.31 56.38 1:14.12 17.54 1:04.58 48.94 1:42.12 3:52.33 522
12.40 25.37 40.32 56.41 1:14.15 17.55 1:04.60 48.96 1:42.16 3:52.42 521
- 25.38 40.34 56.43 1:14.18 17.56 1:04.63 48.98 1:42.20 3:52.52 520
- 25.39 40.35 56.45 1:14.21 - 1:04.66 49.00 1:42.24 3:52.62 519
12.41 25.40 40.37 56.47 1:14.24 17.57 1:04.69 49.02 1:42.28 3:52.72 518
- 25.41 40.39 56.49 1:14.27 17.58 1:04.72 49.04 1:42.32 3:52.81 517
12.42 25.42 40.40 56.51 1:14.30 17.59 1:04.75 49.06 1:42.36 3:52.91 516
- 25.43 40.42 56.54 1:14.32 17.60 1:04.78 49.08 1:42.40 3:53.01 515
